Team,Offensive_Plays,Average_EPA,Total_EPA,Success_Rate,Yards_Per_Play,Total_Yards,Touchdowns,Turnovers,Interceptions,Fumbles_Lost,Sacks_Taken,Defensive_Plays,Defensive_EPA_Allowed,Yards_Allowed_Per_Play,Defensive_Success_Rate_Allowed,Takeaways,Sacks_Created,Touchdowns_Allowed,Turnover_Margin,EPA_Differential,Yard_Differential,Touchdown_Rate
IND,1087,-0.03549887820394094,-38.5872806076838,0.40846366145354185,5.287948482060718,5748.0,38.0,18.0,10.0,8.0,41.0,1123,-0.01649708438330841,5.303650934995548,0.43989314336598395,24.0,51.0,47.0,6.0,-0.019001793820632527,-0.01570245293483019,0.034958601655933765
JAX,1102,-0.07033108374347903,-77.5048542853139,0.42105263157894735,5.26043557168784,5797.0,40.0,29.0,14.0,15.0,41.0,1061,-0.036453105480011946,5.514608859566446,0.42695570216776624,25.0,40.0,44.0,-4.0,-0.033877978263467085,-0.25417328787860605,0.036297640653357534
KC,1322,0.0279376464434856,36.93356859828796,0.4357034795763994,5.712556732223903,7552.0,49.0,30.0,18.0,12.0,33.0,1296,-0.07793172031998319,4.858796296296297,0.4066358024691358,22.0,64.0,38.0,-8.0,0.10586936676346878,0.8537604359276063,0.037065052950075644
LA,1146,0.05085116456345181,58.27543458971577,0.4476439790575916,5.717277486910994,6552.0,47.0,17.0,13.0,4.0,36.0,1115,0.0007385480010535487,5.479820627802691,0.42869955156950673,15.0,44.0,41.0,-2.0,0.05011261656239826,0.2374568591083035,0.04101221640488656
LAC,1096,-0.07593999287074356,-83.23023218633494,0.4096715328467153,5.122262773722627,5614.0,38.0,20.0,8.0,12.0,43.0,1094,0.012429212348864635,5.658135283363802,0.44149908592321757,19.0,48.0,44.0,-1.0,-0.0883692052196082,-0.5358725096411749,0.03467153284671533
LV,997,-0.09705627067078387,-96.76510185877152,0.41223671013039115,4.957873620862588,4943.0,32.0,24.0,18.0,6.0,40.0,1072,-0.06046831921128205,5.271455223880597,0.4337686567164179,21.0,46.0,41.0,-3.0,-0.036587951459501826,-0.31358160301800897,0.0320962888665998
MIA,1095,0.08043077949233941,88.07170354411166,0.4639269406392694,6.488584474885845,7105.0,62.0,26.0,16.0,10.0,33.0,1116,-0.03276938144637618,5.236559139784946,0.42473118279569894,27.0,56.0,48.0,1.0,0.1132001609387156,1.2520253351008988,0.05662100456621005
MIN,1063,-0.04061648548643533,-43.175324072080755,0.4242709313264346,5.572906867356538,5924.0,38.0,33.0,19.0,14.0,47.0,1079,-0.01797801158585767,5.269694161260427,0.4318813716404078,21.0,43.0,39.0,-12.0,-0.02263847390057766,0.3032127060961116,0.03574788334901223
NE,1016,-0.19069146568537332,-193.7425291363393,0.3887795275590551,4.628937007874016,4703.0,30.0,30.0,21.0,9.0,48.0,1067,-0.05496726858097119,4.841611996251172,0.4095595126522962,16.0,36.0,33.0,-14.0,-0.13572419710440214,-0.21267498837715593,0.02952755905511811
NO,1102,-0.013633396681598,-15.024003143120995,0.42105263157894735,5.233212341197822,5767.0,43.0,16.0,11.0,5.0,35.0,1042,-0.09987929462882125,5.36084452975048,0.3896353166986564,29.0,34.0,34.0,13.0,0.08624589794722326,-0.12763218855265812,0.03901996370235935
NYG,1049,-0.173706200638954,-182.21780447026276,0.3784556720686368,4.546234509056244,4769.0,27.0,17.0,12.0,5.0,85.0,1082,-0.018855965730175485,5.694085027726432,0.4491682070240296,28.0,34.0,48.0,11.0,-0.15485023490877853,-1.1478505186701877,0.025738798856053385
NYJ,1049,-0.25156504378123534,-263.8917309265159,0.34985700667302194,4.363203050524309,4577.0,20.0,29.0,15.0,14.0,64.0,1073,-0.11889244730314169,4.645852749301025,0.37371854613233924,26.0,48.0,36.0,-3.0,-0.13267259647809365,-0.28264969877671664,0.019065776930409915
PHI,1158,0.04376249848058376,50.67697324051599,0.45164075993091535,5.450777202072539,6312.0,49.0,27.0,16.0,11.0,42.0,1170,0.05631211336542735,5.549572649572649,0.44700854700854703,17.0,47.0,55.0,-10.0,-0.012549614884843595,-0.09879544750011071,0.04231433506044905
PIT,1070,-0.07765418895826565,-83.08998218534424,0.41869158878504675,5.164485981308411,5526.0,31.0,17.0,10.0,7.0,37.0,1130,-0.0458723185034057,5.493805309734514,0.4150442477876106,27.0,49.0,38.0,10.0,-0.031781870454859945,-0.32931932842610223,0.02897196261682243
SEA,984,0.016406908833893032,16.144398292550743,0.43902439024390244,5.594512195121951,5505.0,34.0,15.0,12.0,3.0,38.0,1135,0.0515030189506364,5.573568281938326,0.44933920704845814,19.0,47.0,48.0,4.0,-0.035096110116743365,0.02094391318362554,0.034552845528455285
SF,1192,0.16556560667238335,197.35420315348094,0.50251677852349,6.672818791946309,7954.0,70.0,20.0,13.0,7.0,38.0,1247,-0.06299772349532166,5.137931034482759,0.42502004811547717,32.0,53.0,39.0,12.0,0.22856333016770503,1.53488775746355,0.0587248322147651
TB,1158,-0.0008887690874610828,-1.029194603279934,0.40500863557858374,5.335060449050086,6178.0,42.0,20.0,12.0,8.0,48.0,1197,-0.01825123919443883,5.462823725981621,0.4344193817878028,26.0,53.0,40.0,6.0,0.017362470106977744,-0.12776327693153444,0.03626943005181347
TEN,984,-0.047197988657653345,-46.44282083913089,0.39735772357723576,5.010162601626016,4930.0,32.0,17.0,11.0,6.0,64.0,1089,0.007438047648317258,5.245179063360881,0.4361799816345271,12.0,45.0,31.0,-5.0,-0.0546360363059706,-0.23501646173486535,0.032520325203252036
WAS,1060,-0.10565660415868719,-111.99600040820842,0.41037735849056606,5.025471698113208,5327.0,44.0,30.0,21.0,9.0,65.0,1109,0.08474207230028563,5.977457168620378,0.45356176735798015,17.0,39.0,54.0,-13.0,-0.19039867645897282,-0.9519854705071706,0.04150943396226415
