Feature,Coefficient
Average_EPA,1.0000000000000016
Takeaways,4.3723412633254496e-15
Touchdown_Rate,8.588457287952245e-16
Yards_Allowed_Per_Play,6.081399585775514e-17
Yards_Per_Play,-1.2167381377899597e-17
Success_Rate,-2.249522294960356e-15
Turnover_Margin,-4.394351016787661e-15
Turnovers,-4.403677135075216e-15
Defensive_EPA_Allowed,-1.0000000000000004
